peakIndex
340
1163
2004
2714
3724
4632
5580
6514
7421
8322
9267
10240
11220
12175
13095
13974
14868
15812
16752
17671
18374
19449
20373
21294
22211
23125
23988
24815
25660
26549
27523
28500
29453
30371
31308
32246
33132
33975
34833
35708
36600
37479
38335
39222
40148
41102
42053
42967
43854
44746
45661
46594
47521
48404
49226
50075
50976
51906
52809
53691
54567
55387
56219
57046
57836
58658
59520
60420
61296
62115
62919
63737
64603
65529
66474
67383
68293
69229
70171
71059
71933
72846
73776
74670
75513
76385
77292
78208
79092
79948
80828
81758
82703
83627
84484
85283
86101
86958
87914
89864
90734
91638
92039
92554
93463
94329
95186
96081
97008
97964
98908
99780
100679
101614
102556
103443
104327
105220
106105
106955
107775
108612
109512
110421
111337
112218
113055
113860
114718
115647
116591
117498
118378
119237
120130
121039
121969
122853
124696
125610
126523
127374
129896
130849
131806
132684
133548
134430
135345
136277
137202
138063
138950
139866
140783
141666
142509
143380
144304
145243
146163
147022
147882
148772
149688
150593
151447
152350
153291
154245
155171
156031
156913
157827
158756
159687
160544
161382
162256
163190
164153
165058
165932
166827
168700
169617
170477
171292
172143
173039
173972
174874
175715
176531
177366
178235
179125
179980
180835
181719
182624
183523
184368
185230
186136
187063
187956
188795
189660
190562
191482
192398
193259
194148
195081
196016
196919
197753
198606
199510
200441
201354
202200
203046
203970
204915
205850
206757
207690
208618
209506
210322
211159
212009
212886
213754
214627
215560
216529
217483
218386
219237
220105
221009
221933
222850
223723
224543
225382
226245
227152
228076
228928
229799
230691
231605
232534
233449
234330
235247
236191
237139
238030
238911
239835
240745
241630
242537
243458
244390
245279
246115
246978
247898
248881
249833
250789
251756
252732
253657
254512
255378
256270
257174
258046
258948
259891
260844
261757
262705
263668
264632
265598
266553
267488
268444
269411
270356
271249
272131
273060
274035
275011
275962
276835
277714
278621
279535
280432
281285
282130
283016
283922
284817
285699
286618
287555
288484
289357
290172
291009
291874
292771
293676
294530
295422
296338
297238
298069
298902
299760
300622
301457
302278
303133
304012
304896
305737
306614
307513
309270
310142
311045
311970
312885
313778
314605
315430
317228
318169
319123
320088
321077
322041
322966
323805
324629
325484
326366
327272
328158
329006
329891
331762
332667
333501
88772
123757
129009
128240
167760
308408
316291
330809
