samples
938
940
844
861
861
953
989
1027
903
837
897
853
891
949
989
885
895
1044
1145
978
973
1074
1110
1020
1064
1049
975
1004
991
977
1028
1036
1024
1007
956
986
941
974
1046
1011
1071
1040
998
1010
939
958
995
986
1062
1041
1007
1023
1014
979
1016
948
937
948
897
1013
991
1023
984
949
983
909
922
968
958
959
986
934
944
978
939
956
966
896
934
935
912
959
975
936
1007
988
981
988
950
993
993
1008
1011
959
1008
991
1002
1037
990
1014
968
880
911
974
960
1108
1157
976
1013
992
923
999
1007
967
1111
1036
1003
1003
923
929
942
927
1118
1238
1007
1028
1029
964
936
976
916
863
982
952
882
913
945
937
887
870
870
876
878
843
839
916
974
979
937
988
966
918
909
909
896
892
951
958
932
920
947
921
867
912
1016
1025
947
952
914
875
839
862
870
850
821
834
848
826
843
877
918
906
957
915
872
863
832
792
796
797
798
795
908
959
929
979
953
885
896
902
885
866
919
948
880
898
916
971
922
962
987
927
971
1001
912
814
804
800
795
830
855
832
868
915
944
868
896
902
848
889
904
885
900
918
883
896
897
881
930
948
930
931
957
932
898
923
921
849
879
879
848
964
1004
965
1022
997
935
934
932
892
935
945
905
901
943
912
911
975
939
1117
1285
1211
1102
975
964
960
940
901
1004
1085
1033
988
978
964
886
918
957
950
965
1007
991
936
1015
973
884
910
973
1000
977
1085
1042
966
965
991
948
923
937
991
968
1045
1071
1022
962
987
1028
1034
992
986
1017
981
1001
992
934
948
978
905
879
922
940
897
953
1009
921
974
981
907
885
934
976
897
893
919
940
902
956
991
918
941
